,Source,SS,ddof1,ddof2,MS,F,p-unc,p-GG-corr,ng2,eps
0,sparsity_percent,0.01460409489741514,2,18,0.00730204744870757,18.916659861319754,3.761936745310592e-05,0.0018494181036414058,0.4148628255946444,0.5001809767455403
1,method,14.350934122802578,1,9,14.350934122802578,37874.48126134515,1.2702481716698607e-17,1.2702481716698607e-17,0.9985667407884742,1.0
2,sparsity_percent * method,0.014569946358140129,2,18,0.0072849731790700645,19.478854121404627,3.1439815300958874e-05,0.0016832163662510661,0.41429465180494174,0.500280794182816
