data_type,sparsity_percent,topology,mode,num_nodes,is_dag,nmse_global,mse_global,rmse_global,snr_global,peak_snr_global,mean_nmse_per_node,std_nmse_per_node,consensus_error,fit_time,ssim,gmsd,fsim,vif
complex_signal,10,graph_00_DAG_adj.txt,general,5,True,6607.6851866053385,0.08902763898049965,0.29837499724423905,-38.20049343486504,-37.89333098696443,33409.80485498594,52849.34478040117,571814.7294444495,63.290443897247314,,,,
complex_signal,10,graph_00_DAG_adj.txt,dag,5,True,6873.552271576911,0.09887758346180772,0.31444806162832,-38.371812397132956,-38.235968911500265,34724.120870071274,55446.79867536584,602157.5238733965,68.2541332244873,,,,
complex_signal,10,graph_01_DAG_adj.txt,general,5,True,6607.6851866053385,0.08902763898049965,0.29837499724423905,-38.20049343486504,-37.89333098696443,33409.80485498594,52849.34478040117,571814.7294444495,64.61689400672913,,,,
complex_signal,10,graph_01_DAG_adj.txt,dag,5,True,6873.552271576911,0.09887758346180772,0.31444806162832,-38.371812397132956,-38.235968911500265,34724.120870071274,55446.79867536584,602157.5238733965,82.74940490722656,,,,
complex_signal,10,graph_02_DAG_adj.txt,general,10,True,16226302.494075106,0.08465424953210098,0.29095403336627074,-72.10219567924534,-105.69673547572503,152298906.69544047,285696358.276657,4925221949.358604,63.532299518585205,,,,
complex_signal,10,graph_02_DAG_adj.txt,dag,10,True,16230005.166087855,0.08459035263618665,0.2908442068121465,-72.10318658064254,-105.69871727851941,152327978.00089607,285721063.4010331,4925421872.085543,43.90777897834778,,,,
complex_signal,10,graph_03_DAG_adj.txt,general,15,True,114.63995049064954,0.0649028326851143,0.25476034362732813,-20.59335989831347,-2.6790639138612886,1741.0407984507733,5872.313517140249,94620.27202976956,37.7342209815979,,,,
complex_signal,10,graph_03_DAG_adj.txt,dag,15,True,115.17172801999034,0.06474967874147992,0.2544595817442918,-20.613458829776977,-2.7192617767883127,1744.689005071739,5905.929028662968,95390.21294017359,43.76476812362671,,,,
complex_signal,10,graph_04_DAG_adj.txt,general,15,True,113.62231341588428,0.0630152501732366,0.2510283851942577,-20.554636275175877,-2.6016166675861037,1693.9739596864542,5935.3884225237325,95991.86677311648,38.76032829284668,,,,
complex_signal,10,graph_04_DAG_adj.txt,dag,15,True,115.17172801999034,0.06474967874147992,0.2544595817442918,-20.613458829776977,-2.7192617767883127,1744.689005071739,5905.929028662968,95390.21294017359,42.59310984611511,,,,
complex_signal,10,graph_05_DAG_adj.txt,general,20,True,71047.02011349348,0.08192722139223997,0.28622931609504987,-48.51545867268331,-58.52326146260096,1484673.1482509566,5146377.813281386,92799658.04538758,37.788414478302,,,,
complex_signal,10,graph_05_DAG_adj.txt,dag,20,True,71039.10669361302,0.0818964975627685,0.2861756411065912,-48.51497491615227,-58.522293949538884,1484884.7371068234,5146596.828590566,92815471.76236305,44.0123815536499,,,,
complex_signal,10,graph_06_DAG_adj.txt,general,25,True,463730.8148076988,0.013917106551537408,0.11797078685648159,-56.662659556247156,-74.81766322972865,11603472.31081993,56812883.16619777,822462001.5247715,38.67955303192139,,,,
complex_signal,10,graph_06_DAG_adj.txt,dag,25,True,463746.6539836213,0.013916766555889894,0.11796934583140611,-56.66280789120801,-74.81795989965038,11603745.743131783,56814244.71306084,822481573.8919158,53.67832136154175,,,,
complex_signal,10,graph_07_Directed_with_Cycles_adj.txt,general,5,False,6608.633874184524,0.08883369165145275,0.29804981404364733,-38.20111692129799,-37.894577959830336,33390.72633815259,52762.40996672202,570437.9157540749,60.867244482040405,,,,
complex_signal,10,graph_08_Directed_with_Cycles_adj.txt,general,5,False,8867879.18268691,0.07367982584288736,0.2714402804354714,-69.47819767589742,-100.44873946902918,44360076.056220055,88637897.32370204,1113720767.8000977,61.43637800216675,,,,
complex_signal,10,graph_09_Directed_with_Cycles_adj.txt,general,10,False,16230257.955796985,0.08459158688957674,0.2908463286506755,-72.10325422345575,-105.69885256414585,152331096.16632393,285732438.57253087,4925556020.194131,35.31891059875488,,,,
complex_signal,10,graph_10_Directed_with_Cycles_adj.txt,general,15,False,112.98654873367136,0.06632225102945861,0.25753106808588866,-20.53026742966015,-2.5528789765546467,1720.6187556682046,5930.9140027525855,96671.99291534093,35.570866107940674,,,,
complex_signal,10,graph_11_Directed_with_Cycles_adj.txt,general,15,False,113.38285710474156,0.06571914901156373,0.25635746334281695,-20.54547396465057,-2.5832920465354796,1716.9721171414708,5913.191938281077,96368.54979179661,36.382659673690796,,,,
complex_signal,10,graph_12_Directed_with_Cycles_adj.txt,general,20,False,71021.89991928432,0.08211692873209772,0.2865605149564359,-48.513922860087476,-58.52018983740932,1484859.2601112039,5146604.178358862,92818718.03897233,38.31264901161194,,,,
complex_signal,10,graph_13_Directed_with_Cycles_adj.txt,general,25,False,463616.5361656174,0.013919586276828148,0.11798129630084656,-56.66158917881297,-74.81552247486029,11600727.136495428,56799310.0996229,822264018.3282672,40.10149955749512,,,,
complex_signal,10,graph_14_Directed_with_Cycles_and_Loops_adj.txt,general,5,False,8867879.18268691,0.07367982584288736,0.2714402804354714,-69.47819767589742,-100.44873946902918,44360076.056220055,88637897.32370204,1113720767.8000977,61.0797975063324,,,,
complex_signal,10,graph_15_Directed_with_Cycles_and_Loops_adj.txt,general,5,False,8867879.18268691,0.07367982584288736,0.2714402804354714,-69.47819767589742,-100.44873946902918,44360076.056220055,88637897.32370204,1113720767.8000977,62.019028663635254,,,,
complex_signal,10,graph_16_Directed_with_Cycles_and_Loops_adj.txt,general,10,False,16227775.316344984,0.0846572309252043,0.29095915679903306,-72.10258985996359,-105.69752383716153,152311680.8967456,285740050.71389467,4925868191.323761,35.977327823638916,,,,
complex_signal,10,graph_17_Directed_with_Cycles_and_Loops_adj.txt,general,15,False,111.62255283039634,0.06541448097773712,0.2557625480357457,-20.47751950697004,-2.447383131174435,1704.439574195352,5881.720941050487,96031.75743180596,36.903337478637695,,,,
complex_signal,10,graph_18_Directed_with_Cycles_and_Loops_adj.txt,general,15,False,113.24835514835233,0.06440293417393542,0.25377733187567286,-20.540319029128447,-2.5729821754912408,1717.0367058040943,5913.0261681054435,96278.66574894825,38.27655744552612,,,,
complex_signal,10,graph_19_Directed_with_Cycles_and_Loops_adj.txt,general,20,False,71021.73890894785,0.08212491472010126,0.28657444882630634,-48.51391301439482,-58.520170146023986,1484859.1986122958,5146604.196142557,92818730.1035987,38.286633253097534,,,,
complex_signal,10,graph_20_Directed_with_Cycles_and_Loops_adj.txt,general,25,False,463621.0927870682,0.01391956372924933,0.1179812007450735,-56.66163186292091,-74.81560784307618,11600724.003275521,56799310.7385312,822263910.747115,40.37520456314087,,,,
complex_signal,10,graph_21_Star_with_Extra_Edges_adj.txt,general,5,False,6608.633874184524,0.08883369165145275,0.29804981404364733,-38.20111692129799,-37.894577959830336,33390.72633815259,52762.40996672202,570437.9157540749,60.99991512298584,,,,
complex_signal,10,graph_22_Star_with_Extra_Edges_adj.txt,general,5,False,6594.493938968223,0.09036379974612524,0.3006057214128255,-38.19181473431084,-37.87597358585603,33371.979617964775,52756.69239686043,569399.1843748408,61.155067920684814,,,,
complex_signal,10,graph_23_Star_with_Extra_Edges_adj.txt,general,10,True,16227865.605092118,0.08465113941936021,0.29094868863660517,-72.10261402334693,-105.69757216392821,152311143.03206322,285732900.8806043,4925817082.526775,35.13853454589844,,,,
complex_signal,10,graph_23_Star_with_Extra_Edges_adj.txt,dag,10,True,16230005.166087855,0.08459035263618665,0.2908442068121465,-72.10318658064254,-105.69871727851941,152327978.00089607,285721063.4010331,4925421872.085543,39.9761598110199,,,,
complex_signal,10,graph_24_Star_with_Extra_Edges_adj.txt,general,15,False,112.70123043051501,0.06285524344909679,0.2507094801739591,-20.5192865753915,-2.530917268017351,1682.6423560137823,5908.6829575472475,95534.42607675391,35.69686269760132,,,,
complex_signal,10,graph_25_Star_with_Extra_Edges_adj.txt,general,15,False,111.35653352679586,0.06491260297889666,0.25477951836616824,-20.467157031068584,-2.4266581793715147,1663.8898622383347,5942.362154986458,96628.58027643217,36.518505811691284,,,,
complex_signal,10,graph_26_Star_with_Extra_Edges_adj.txt,general,20,False,71028.89485885223,0.0817940279314818,0.2859965523069846,-48.51435057521048,-58.52104526765531,1485007.8504618616,5147088.863395537,92829267.54561599,37.12803316116333,,,,
complex_signal,10,graph_27_Star_with_Extra_Edges_adj.txt,general,25,False,463779.5001395745,0.01391497979521109,0.11796177260117402,-56.66311548154872,-74.8185750803318,11604084.605917605,56815808.34230123,822501536.275605,39.95599150657654,,,,
complex_signal,10,graph_28_Leafs_to_Final_Node_adj.txt,general,5,True,6594.493938968223,0.09036379974612524,0.3006057214128255,-38.19181473431084,-37.87597358585603,33371.979617964775,52756.69239686043,569399.1843748408,61.62453746795654,,,,
complex_signal,10,graph_28_Leafs_to_Final_Node_adj.txt,dag,5,True,6873.552271576911,0.09887758346180772,0.31444806162832,-38.371812397132956,-38.235968911500265,34724.120870071274,55446.79867536584,602157.5238733965,68.08781266212463,,,,
complex_signal,10,graph_29_Leafs_to_Final_Node_adj.txt,general,5,True,6594.493938968223,0.09036379974612524,0.3006057214128255,-38.19181473431084,-37.87597358585603,33371.979617964775,52756.69239686043,569399.1843748408,60.734493255615234,,,,
complex_signal,10,graph_29_Leafs_to_Final_Node_adj.txt,dag,5,True,6873.552271576911,0.09887758346180772,0.31444806162832,-38.371812397132956,-38.235968911500265,34724.120870071274,55446.79867536584,602157.5238733965,66.98726177215576,,,,
complex_signal,10,graph_30_Leafs_to_Final_Node_adj.txt,general,10,True,16227865.605092118,0.08465113941936021,0.29094868863660517,-72.10261402334693,-105.69757216392821,152311143.03206322,285732900.8806043,4925817082.526775,34.4119553565979,,,,
complex_signal,10,graph_30_Leafs_to_Final_Node_adj.txt,dag,10,True,16230005.166087855,0.08459035263618665,0.2908442068121465,-72.10318658064254,-105.69871727851941,152327978.00089607,285721063.4010331,4925421872.085543,41.08431887626648,,,,
complex_signal,10,graph_31_Leafs_to_Final_Node_adj.txt,general,15,True,112.98400036529239,0.06638700477843429,0.2576567576805124,-20.530169475096663,-2.5526830674276724,1718.9530449021756,5895.915637987668,95844.23592244815,35.39800000190735,,,,
complex_signal,10,graph_31_Leafs_to_Final_Node_adj.txt,dag,15,True,115.17172801999034,0.06474967874147992,0.2544595817442918,-20.613458829776977,-2.7192617767883127,1744.689005071739,5905.929028662968,95390.21294017359,40.85161638259888,,,,
complex_signal,10,graph_32_Leafs_to_Final_Node_adj.txt,general,15,True,112.98400036529239,0.06638700477843429,0.2576567576805124,-20.530169475096663,-2.5526830674276724,1718.9530449021756,5895.915637987668,95844.23592244815,36.23974967002869,,,,
complex_signal,10,graph_32_Leafs_to_Final_Node_adj.txt,dag,15,True,115.17172801999034,0.06474967874147992,0.2544595817442918,-20.613458829776977,-2.7192617767883127,1744.689005071739,5905.929028662968,95390.21294017359,40.501559257507324,,,,
complex_signal,10,graph_33_Leafs_to_Final_Node_adj.txt,general,20,True,71030.15783958342,0.08213184852324892,0.2865865463053856,-48.514427797401105,-58.521199712036555,1485063.7821675867,5147480.468990085,92832740.01673786,37.73494815826416,,,,
complex_signal,10,graph_33_Leafs_to_Final_Node_adj.txt,dag,20,True,71039.10669361302,0.0818964975627685,0.2861756411065912,-48.51497491615227,-58.522293949538884,1484884.7371068234,5146596.828590566,92815471.76236305,42.38312292098999,,,,
complex_signal,10,graph_34_Leafs_to_Final_Node_adj.txt,general,25,True,463656.9667835733,0.013915974148739747,0.11796598725369846,-56.66196789758868,-74.81627991241172,11600711.413850492,56799313.273595326,822262054.7796131,39.13426494598389,,,,
complex_signal,10,graph_34_Leafs_to_Final_Node_adj.txt,dag,25,True,463746.6539836213,0.013916766555889894,0.11796934583140611,-56.66280789120801,-74.81795989965038,11603745.743131783,56814244.71306084,822481573.8919158,52.27321243286133,,,,
complex_signal,10,graph_35_Tree_with_Leaf_Connections_adj.txt,general,5,True,6608.633874184524,0.08883369165145275,0.29804981404364733,-38.20111692129799,-37.894577959830336,33390.72633815259,52762.40996672202,570437.9157540749,62.6285297870636,,,,
complex_signal,10,graph_35_Tree_with_Leaf_Connections_adj.txt,dag,5,True,6873.552271576911,0.09887758346180772,0.31444806162832,-38.371812397132956,-38.235968911500265,34724.120870071274,55446.79867536584,602157.5238733965,66.45312213897705,,,,
complex_signal,10,graph_36_Tree_with_Leaf_Connections_adj.txt,general,5,False,6608.633874184524,0.08883369165145275,0.29804981404364733,-38.20111692129799,-37.894577959830336,33390.72633815259,52762.40996672202,570437.9157540749,61.20211601257324,,,,
complex_signal,10,graph_37_Tree_with_Leaf_Connections_adj.txt,general,10,False,16228006.177182132,0.08465117465010312,0.29094874918119706,-72.10265164346289,-105.69764740416014,152312676.92805016,285737220.6114005,4925881293.477446,34.643091678619385,,,,
complex_signal,10,graph_38_Tree_with_Leaf_Connections_adj.txt,general,15,False,112.78471378626979,0.06615488149702287,0.25720591264009246,-20.52250241773747,-2.5373489527092943,1712.5541821509678,5897.721809909715,96232.1090731611,35.201570987701416,,,,
complex_signal,10,graph_39_Tree_with_Leaf_Connections_adj.txt,general,15,False,112.78471378626979,0.06615488149702287,0.25720591264009246,-20.52250241773747,-2.5373489527092943,1712.5541821509678,5897.721809909715,96232.1090731611,36.081881284713745,,,,
complex_signal,10,graph_40_Tree_with_Leaf_Connections_adj.txt,general,20,False,71029.28475316179,0.08213416514383007,0.28659058802380455,-48.514374414590606,-58.521092946415564,1485064.7480545486,5147480.190561926,92832694.16761231,36.85894203186035,,,,
complex_signal,10,graph_41_Tree_with_Leaf_Connections_adj.txt,general,25,False,463753.63900369225,0.013917281152466201,0.11797152687181005,-56.66287330478677,-74.81809072680788,11604079.941938085,56815809.29071497,822503707.3466656,39.33145499229431,,,,
complex_signal,10,graph_42_Bidirectional_adj.txt,general,5,False,6607.6851866053385,0.08902763898049965,0.29837499724423905,-38.20049343486504,-37.89333098696443,33409.80485498594,52849.34478040117,571814.7294444495,62.399749517440796,,,,
complex_signal,10,graph_43_Bidirectional_adj.txt,general,5,False,8867280.644620841,0.07352749589041882,0.2711595395526752,-69.47790453866952,-100.4481531945734,44356807.65119459,88631509.42489867,1113640137.16106,60.83649444580078,,,,
complex_signal,10,graph_44_Bidirectional_adj.txt,general,10,False,16229043.764351007,0.08457482770756768,0.2908175161636033,-72.10292931403548,-105.69820274530531,152319126.28273302,285698207.42599416,4925048367.973217,34.70030355453491,,,,
complex_signal,10,graph_45_Bidirectional_adj.txt,general,15,False,115.58166816169897,0.06505769359670018,0.2550640970358239,-20.628889582407005,-2.7501232820483628,1751.9348555824306,5923.040072906768,95622.7415687361,36.953866958618164,,,,
complex_signal,10,graph_46_Bidirectional_adj.txt,general,15,False,116.01562162890785,0.06491336864296646,0.25478102096303495,-20.6451647138597,-2.782673544953751,1752.550951076532,5923.140852296417,95743.2547513389,35.88658428192139,,,,
complex_signal,10,graph_47_Bidirectional_adj.txt,general,20,False,71025.26478828586,0.08212051236099689,0.28656676771914236,-48.51412861485112,-58.52060134693659,1485011.94816535,5147087.681917235,92828867.29609552,38.196558475494385,,,,
complex_signal,10,graph_48_Bidirectional_adj.txt,general,25,False,463607.27643551,0.013919261291308606,0.11797991901721498,-56.66150243708707,-74.81534899140851,11600701.316302998,56799315.352579474,822266541.236111,41.39380407333374,,,,
complex_signal,35,graph_00_DAG_adj.txt,general,5,True,12013.382517144037,0.07050574796762277,0.2655291847756528,-40.796653056295824,-52.02112645295355,57019.17695905677,72589.88920292423,2035191.2438216563,61.80412411689758,,,,
complex_signal,35,graph_00_DAG_adj.txt,dag,5,True,64966428.78629822,0.04926077658881756,0.22194768885667082,-78.12688994192924,-126.68160022422036,325258416.0881864,650245590.0650812,22873054361.49172,66.90471410751343,,,,
complex_signal,35,graph_01_DAG_adj.txt,general,5,True,12013.382517144037,0.07050574796762277,0.2655291847756528,-40.796653056295824,-52.02112645295355,57019.17695905677,72589.88920292423,2035191.2438216563,61.74448084831238,,,,
complex_signal,35,graph_01_DAG_adj.txt,dag,5,True,64966428.78629822,0.04926077658881756,0.22194768885667082,-78.12688994192924,-126.68160022422036,325258416.0881864,650245590.0650812,22873054361.49172,67.0620985031128,,,,
