trial,algo,lambda1,roc_auc,pr_auc,f1,nmse,sparsity,runtime
0,OCSVM,,0.9320436507936508,0.7674883016916973,0.72,,,
0,KAMP,0.01,0.8849206349206349,0.6999791283810841,0.72,0.0018451684124446113,0.8295999999999999,
0,AMP,0.01,0.8809523809523809,0.7255993624626395,0.6938775510204082,0.0014331701979212997,0.7757999999999999,
0,KAMP,0.1,0.8219246031746033,0.5599433043090444,0.4,0.01596303078256775,0.7840000000000003,
0,AMP,0.1,0.8075396825396824,0.6189381195226081,0.43902439024390244,0.016984104401857235,0.7802,
